,close,high,low
2025-12-15 20:00:00,0.074494,0.0761,0.073563
2025-12-16 00:00:00,0.075291,0.075291,0.074186
2025-12-16 04:00:00,0.074644,0.07533,0.074285
2025-12-16 08:00:00,0.074308,0.074723,0.074153
2025-12-16 12:00:00,0.07592,0.07592,0.074295
2025-12-16 16:00:00,0.075984,0.076106,0.075185
2025-12-16 20:00:00,0.075383,0.075794,0.074847
2025-12-17 00:00:00,0.075206,0.075427,0.074906
2025-12-17 04:00:00,0.075331,0.075923,0.074811
2025-12-17 08:00:00,0.075144,0.075526,0.074591
2025-12-17 12:00:00,0.07401,0.07508,0.073875
2025-12-17 16:00:00,0.074023,0.076205,0.074023
2025-12-17 20:00:00,0.070776,0.073975,0.070339
2025-12-18 00:00:00,0.070911,0.071606,0.070611
2025-12-18 04:00:00,0.070416,0.071055,0.070115
2025-12-18 08:00:00,0.069431,0.070563,0.069242
2025-12-18 12:00:00,0.070134,0.070189,0.069466
2025-12-18 16:00:00,0.07202,0.072618,0.07013
2025-12-18 20:00:00,0.066891,0.071944,0.066891
2025-12-19 00:00:00,0.068048,0.068472,0.067009
2025-12-19 04:00:00,0.06986,0.06986,0.067469
2025-12-19 08:00:00,0.071022,0.071435,0.069724
2025-12-19 12:00:00,0.071286,0.071633,0.070998
2025-12-19 16:00:00,0.07211,0.072688,0.071269
2025-12-19 20:00:00,0.073023,0.073077,0.071377
2025-12-20 00:00:00,0.073009,0.073174,0.072844
2025-12-20 04:00:00,0.072636,0.072966,0.072553
2025-12-20 08:00:00,0.0737,0.0737,0.072522
2025-12-20 12:00:00,0.073568,0.074146,0.073129
2025-12-20 16:00:00,0.074321,0.074816,0.073217
2025-12-20 20:00:00,0.073827,0.074457,0.073827
2025-12-21 00:00:00,0.073936,0.074008,0.073675
2025-12-21 04:00:00,0.072733,0.074064,0.072619
2025-12-21 08:00:00,0.073293,0.073441,0.072559
2025-12-21 12:00:00,0.072832,0.073518,0.072832
2025-12-21 16:00:00,0.071242,0.073037,0.070573
2025-12-21 20:00:00,0.071278,0.071723,0.071025
2025-12-22 00:00:00,0.071896,0.072068,0.070878
2025-12-22 04:00:00,0.071813,0.072704,0.071315
2025-12-22 08:00:00,0.07223,0.072665,0.071931
2025-12-22 12:00:00,0.07286,0.072917,0.072214
2025-12-22 16:00:00,0.072389,0.073129,0.072186
2025-12-22 20:00:00,0.071325,0.072748,0.071325
2025-12-23 00:00:00,0.071469,0.071588,0.070517
2025-12-23 04:00:00,0.07094,0.072572,0.070845
2025-12-23 08:00:00,0.069935,0.071017,0.069935
2025-12-23 12:00:00,0.067812,0.06989,0.067389
2025-12-23 16:00:00,0.067328,0.067766,0.066797
2025-12-23 20:00:00,0.067865,0.068237,0.067222
2025-12-24 00:00:00,0.067841,0.068566,0.067622
2025-12-24 04:00:00,0.067485,0.068259,0.066802
2025-12-24 08:00:00,0.066193,0.067755,0.066193
2025-12-24 12:00:00,0.066152,0.066588,0.065625
2025-12-24 16:00:00,0.067724,0.067724,0.066148
2025-12-24 20:00:00,0.068052,0.068052,0.06759
2025-12-25 00:00:00,0.068096,0.068774,0.067864
2025-12-25 04:00:00,0.068628,0.068667,0.067687
2025-12-25 08:00:00,0.06946,0.06946,0.068538
2025-12-25 12:00:00,0.068787,0.069978,0.068671
2025-12-25 16:00:00,0.069259,0.069405,0.068641
2025-12-25 20:00:00,0.069404,0.06964,0.068939
2025-12-26 00:00:00,0.067233,0.069656,0.067233
2025-12-26 04:00:00,0.068868,0.069415,0.066888
2025-12-26 08:00:00,0.068233,0.06891,0.068233
2025-12-26 12:00:00,0.068759,0.068917,0.068065
2025-12-26 16:00:00,0.067729,0.069332,0.067693
2025-12-26 20:00:00,0.06843,0.068446,0.067399
2025-12-27 00:00:00,0.068441,0.068644,0.068069
2025-12-27 04:00:00,0.06898,0.069083,0.068184
2025-12-27 08:00:00,0.068657,0.068975,0.068451
2025-12-27 12:00:00,0.069204,0.069204,0.067879
2025-12-27 16:00:00,0.068811,0.069476,0.068651
2025-12-27 20:00:00,0.069314,0.06941,0.068985
2025-12-28 00:00:00,0.071183,0.07122,0.069318
2025-12-28 04:00:00,0.07171,0.071857,0.070954
2025-12-28 08:00:00,0.071604,0.072002,0.071307
2025-12-28 12:00:00,0.071676,0.072628,0.071646
2025-12-28 16:00:00,0.07116,0.071845,0.070879
2025-12-28 20:00:00,0.07028,0.071932,0.07028
2025-12-29 00:00:00,0.070101,0.070317,0.069602
2025-12-29 04:00:00,0.071413,0.071413,0.070018
2025-12-29 08:00:00,0.072292,0.072292,0.071394
2025-12-29 12:00:00,0.070308,0.072276,0.07008
2025-12-29 16:00:00,0.069566,0.070324,0.069045
2025-12-29 20:00:00,0.068733,0.069558,0.068647
2025-12-30 00:00:00,0.06832,0.068811,0.068179
2025-12-30 04:00:00,0.068498,0.068761,0.068185
2025-12-30 08:00:00,0.069007,0.069697,0.068373
2025-12-30 12:00:00,0.071096,0.071096,0.068928
2025-12-30 16:00:00,0.072873,0.073948,0.070848
2025-12-30 20:00:00,0.072863,0.073128,0.071837
2025-12-31 00:00:00,0.072903,0.072903,0.071421
2025-12-31 04:00:00,0.07298,0.07298,0.070715
2025-12-31 08:00:00,0.070795,0.073506,0.070463
2025-12-31 12:00:00,0.070242,0.07086,0.06969
2025-12-31 16:00:00,0.069571,0.070257,0.069459
2025-12-31 20:00:00,0.068737,0.069553,0.067565
2026-01-01 00:00:00,0.067751,0.068568,0.067649
2026-01-01 04:00:00,0.066584,0.067586,0.066429
2026-01-01 08:00:00,0.066928,0.066999,0.066198
2026-01-01 12:00:00,0.067765,0.067767,0.066706
2026-01-01 16:00:00,0.069019,0.069075,0.066976
2026-01-01 20:00:00,0.069976,0.07003,0.06892
2026-01-02 00:00:00,0.071296,0.071318,0.069966
2026-01-02 04:00:00,0.074009,0.074345,0.071251
2026-01-02 08:00:00,0.073284,0.074015,0.073017
2026-01-02 12:00:00,0.072745,0.073839,0.072647
2026-01-02 16:00:00,0.07303,0.074043,0.072689
2026-01-02 20:00:00,0.074311,0.074333,0.072886
2026-01-03 00:00:00,0.074867,0.075491,0.074286
2026-01-03 04:00:00,0.075248,0.075282,0.074476
2026-01-03 08:00:00,0.073058,0.075311,0.072713
