,close,high,low
2025-12-12 08:00:00,3250.11,3262.05,3233.77
2025-12-12 12:00:00,3238.16,3254.63,3232.26
2025-12-12 16:00:00,3102.27,3249.01,3102.27
2025-12-12 20:00:00,3069.41,3096.71,3054.43
2025-12-13 00:00:00,3089.4,3094.6,3069.62
2025-12-13 04:00:00,3092.19,3093.47,3080.77
2025-12-13 08:00:00,3095.41,3095.41,3088.02
2025-12-13 12:00:00,3121.5,3132.68,3094.45
2025-12-13 16:00:00,3108.67,3123.27,3100.68
2025-12-13 20:00:00,3104.21,3112.68,3096.96
2025-12-14 00:00:00,3115.19,3116.39,3094.29
2025-12-14 04:00:00,3120.4,3126.84,3106.11
2025-12-14 08:00:00,3115.6,3122.06,3106.03
2025-12-14 12:00:00,3078.34,3116.71,3076.51
2025-12-14 16:00:00,3081.57,3106.53,3074.46
2025-12-14 20:00:00,3095.26,3101.63,3078.12
2025-12-15 00:00:00,3065.03,3094.4,3054.89
2025-12-15 04:00:00,3112.72,3143.27,3060.74
2025-12-15 08:00:00,3123.7,3140.36,3106.86
2025-12-15 12:00:00,3154.85,3169.98,3128.17
2025-12-15 16:00:00,3002.82,3157.7,2995.78
2025-12-15 20:00:00,2940.76,3013.34,2915.55
2025-12-16 00:00:00,2960.53,2966.2,2922.65
2025-12-16 04:00:00,2934.04,2975.76,2934.04
2025-12-16 08:00:00,2923.22,2948.23,2908.67
2025-12-16 12:00:00,2951.92,2957.7,2922.74
2025-12-16 16:00:00,2943.34,2957.29,2906.43
2025-12-16 20:00:00,2954.04,2957.79,2914.45
2025-12-17 00:00:00,2959.68,2961.06,2940.12
2025-12-17 04:00:00,2947.35,2964.29,2940.81
2025-12-17 08:00:00,2946.75,2948.16,2917.43
2025-12-17 12:00:00,2929.1,2947.51,2913.84
2025-12-17 16:00:00,2935.83,3019.29,2909.79
2025-12-17 20:00:00,2816.84,2919.72,2800.43
2025-12-18 00:00:00,2826.48,2834.57,2812.4
2025-12-18 04:00:00,2829.22,2839.26,2823.11
2025-12-18 08:00:00,2830.84,2840.23,2823.42
2025-12-18 12:00:00,2856.89,2859.77,2830.58
2025-12-18 16:00:00,2970.3,2986.69,2852.88
2025-12-18 20:00:00,2782.2,2961.81,2782.2
2025-12-19 00:00:00,2825.05,2832.73,2782.1
2025-12-19 04:00:00,2921.06,2921.06,2812.97
2025-12-19 08:00:00,2951.73,2975.36,2899.77
2025-12-19 12:00:00,2966.37,2967.43,2939.33
2025-12-19 16:00:00,2964.0,3003.74,2947.74
2025-12-19 20:00:00,2983.12,2996.76,2941.45
2025-12-20 00:00:00,2980.3,2993.9,2974.93
2025-12-20 04:00:00,2989.46,2991.27,2970.86
2025-12-20 08:00:00,2978.04,2987.84,2973.71
2025-12-20 12:00:00,2981.52,2986.29,2974.61
2025-12-20 16:00:00,2975.83,2990.48,2971.06
2025-12-20 20:00:00,2976.75,2979.21,2973.7
2025-12-21 00:00:00,2973.73,2982.36,2972.28
2025-12-21 04:00:00,2969.48,2979.09,2962.72
2025-12-21 08:00:00,2979.27,2979.27,2969.7
2025-12-21 12:00:00,2995.82,3005.53,2976.98
2025-12-21 16:00:00,2971.0,3001.81,2947.03
2025-12-21 20:00:00,2987.56,2990.88,2969.4
2025-12-22 00:00:00,3001.0,3002.83,2970.69
2025-12-22 04:00:00,3017.76,3044.79,2996.44
2025-12-22 08:00:00,3028.78,3039.36,3019.13
2025-12-22 12:00:00,3046.42,3047.91,3028.01
2025-12-22 16:00:00,3039.31,3062.06,3032.3
2025-12-22 20:00:00,2979.32,3054.39,2979.32
2025-12-23 00:00:00,3005.66,3008.36,2967.08
2025-12-23 04:00:00,2991.48,3028.24,2980.99
2025-12-23 08:00:00,2964.67,2995.28,2950.5
2025-12-23 12:00:00,2969.99,2969.99,2953.39
2025-12-23 16:00:00,2924.4,2965.06,2916.56
2025-12-23 20:00:00,2938.48,2959.09,2915.56
2025-12-24 00:00:00,2965.69,2977.3,2939.11
2025-12-24 04:00:00,2942.7,2972.62,2924.06
2025-12-24 08:00:00,2938.94,2954.2,2921.79
2025-12-24 12:00:00,2927.75,2936.55,2917.3
2025-12-24 16:00:00,2923.74,2936.22,2898.63
2025-12-24 20:00:00,2941.74,2945.76,2923.33
2025-12-25 00:00:00,2948.33,2956.83,2940.41
2025-12-25 04:00:00,2945.55,2952.04,2936.67
2025-12-25 08:00:00,2940.51,2946.36,2935.58
2025-12-25 12:00:00,2923.05,2940.99,2914.29
2025-12-25 16:00:00,2964.35,2964.35,2920.43
2025-12-25 20:00:00,2953.35,2963.31,2944.68
2025-12-26 00:00:00,2897.94,2954.88,2895.02
2025-12-26 04:00:00,2960.93,2986.34,2896.45
2025-12-26 08:00:00,2958.29,2984.45,2951.29
2025-12-26 12:00:00,2963.18,2971.37,2954.52
2025-12-26 16:00:00,2914.71,2981.85,2906.45
2025-12-26 20:00:00,2922.92,2928.53,2908.25
2025-12-27 00:00:00,2923.37,2933.38,2919.56
2025-12-27 04:00:00,2928.26,2928.26,2921.0
2025-12-27 08:00:00,2930.58,2932.8,2925.7
2025-12-27 12:00:00,2927.58,2935.62,2919.35
2025-12-27 16:00:00,2926.15,2930.73,2925.55
2025-12-27 20:00:00,2926.41,2926.41,2917.6
2025-12-28 00:00:00,2948.21,2948.21,2926.1
2025-12-28 04:00:00,2941.98,2947.61,2940.77
2025-12-28 08:00:00,2935.75,2943.24,2931.1
2025-12-28 12:00:00,2939.22,2943.07,2933.06
2025-12-28 16:00:00,2947.18,2953.05,2936.25
2025-12-28 20:00:00,2932.28,2949.67,2928.5
2025-12-29 00:00:00,2947.78,2947.82,2928.27
2025-12-29 04:00:00,3034.92,3035.52,2944.56
2025-12-29 08:00:00,3014.07,3046.32,3013.89
2025-12-29 12:00:00,2960.67,3019.5,2958.51
2025-12-29 16:00:00,2931.02,2958.36,2914.72
2025-12-29 20:00:00,2928.82,2941.98,2918.38
2025-12-30 00:00:00,2934.47,2938.31,2926.52
2025-12-30 04:00:00,2943.91,2943.91,2921.04
2025-12-30 08:00:00,2947.89,2952.27,2933.52
2025-12-30 12:00:00,2972.78,2991.96,2946.62
2025-12-30 16:00:00,2985.64,2994.76,2965.59
2025-12-30 20:00:00,2967.08,2987.03,2950.74
2025-12-31 00:00:00,2970.54,2970.54,2955.72
2025-12-31 04:00:00,2966.59,2979.4,2961.62
2025-12-31 08:00:00,2969.99,2972.69,2964.88
2025-12-31 12:00:00,2995.06,2995.06,2962.03
2025-12-31 16:00:00,2980.68,3011.64,2968.88
2025-12-31 20:00:00,2968.34,2985.86,2963.68
2026-01-01 00:00:00,2967.6,2978.93,2961.09
2026-01-01 04:00:00,2976.62,2981.27,2966.99
2026-01-01 08:00:00,2974.56,2977.02,2969.21
2026-01-01 12:00:00,2981.89,2983.17,2974.1
2026-01-01 16:00:00,2985.41,2985.41,2975.47
2026-01-01 20:00:00,2991.24,2995.17,2976.55
2026-01-02 00:00:00,3000.71,3004.7,2983.26
2026-01-02 04:00:00,3024.9,3024.9,2991.66
2026-01-02 08:00:00,3013.4,3028.87,3006.91
2026-01-02 12:00:00,3044.1,3061.42,3013.09
2026-01-02 16:00:00,3083.19,3090.64,3027.17
2026-01-02 20:00:00,3121.32,3141.56,3082.07
2026-01-03 00:00:00,3119.91,3136.3,3114.79
