,close,high,low
2025-12-19 16:00:00,0.279688,0.288067,0.277302
2025-12-19 20:00:00,0.278077,0.280404,0.275945
2025-12-20 00:00:00,0.279648,0.281671,0.277322
2025-12-20 04:00:00,0.280744,0.283308,0.279655
2025-12-20 08:00:00,0.280022,0.280584,0.278979
2025-12-20 12:00:00,0.288193,0.28851,0.279337
2025-12-20 16:00:00,0.287647,0.288202,0.284591
2025-12-20 20:00:00,0.28414,0.288021,0.28414
2025-12-21 00:00:00,0.3052,0.3052,0.283396
2025-12-21 04:00:00,0.298467,0.305871,0.29013
2025-12-21 08:00:00,0.298479,0.300907,0.294751
2025-12-21 12:00:00,0.302083,0.307347,0.298746
2025-12-21 16:00:00,0.311063,0.311063,0.301072
2025-12-21 20:00:00,0.30964,0.313953,0.307274
2025-12-22 00:00:00,0.307562,0.311057,0.305881
2025-12-22 04:00:00,0.309521,0.310715,0.305929
2025-12-22 08:00:00,0.303448,0.309642,0.30238
2025-12-22 12:00:00,0.311344,0.312688,0.303212
2025-12-22 16:00:00,0.313203,0.31499,0.310677
2025-12-22 20:00:00,0.311751,0.314513,0.31024
2025-12-23 00:00:00,0.290186,0.310345,0.290186
2025-12-23 04:00:00,0.296321,0.298919,0.290208
2025-12-23 08:00:00,0.282469,0.295012,0.282165
2025-12-23 12:00:00,0.284233,0.284331,0.28242
2025-12-23 16:00:00,0.280296,0.283861,0.280222
2025-12-23 20:00:00,0.277872,0.280409,0.276714
2025-12-24 00:00:00,0.278975,0.283404,0.276989
2025-12-24 04:00:00,0.275377,0.279904,0.274746
2025-12-24 08:00:00,0.273137,0.274843,0.27243
2025-12-24 12:00:00,0.274622,0.276498,0.272915
2025-12-24 16:00:00,0.273654,0.275605,0.273523
2025-12-24 20:00:00,0.279628,0.280893,0.273635
2025-12-25 00:00:00,0.272431,0.280749,0.271756
2025-12-25 04:00:00,0.27197,0.27396,0.270796
2025-12-25 08:00:00,0.274912,0.275472,0.273088
2025-12-25 12:00:00,0.27661,0.279269,0.274349
2025-12-25 16:00:00,0.278397,0.278397,0.275101
2025-12-25 20:00:00,0.278058,0.278965,0.276497
2025-12-26 00:00:00,0.273407,0.277887,0.272359
2025-12-26 04:00:00,0.272983,0.273602,0.270593
2025-12-26 08:00:00,0.272582,0.274647,0.272562
2025-12-26 12:00:00,0.274347,0.275778,0.272292
2025-12-26 16:00:00,0.269149,0.275475,0.268739
2025-12-26 20:00:00,0.267212,0.270067,0.266484
2025-12-27 00:00:00,0.273152,0.273152,0.266678
2025-12-27 04:00:00,0.27305,0.273724,0.271526
2025-12-27 08:00:00,0.269756,0.272984,0.269671
2025-12-27 12:00:00,0.262578,0.270177,0.262381
2025-12-27 16:00:00,0.26969,0.26969,0.262003
2025-12-27 20:00:00,0.276782,0.276782,0.267613
2025-12-28 00:00:00,0.279715,0.284795,0.276861
2025-12-28 04:00:00,0.26897,0.28084,0.268514
2025-12-28 08:00:00,0.26886,0.270646,0.2681
2025-12-28 12:00:00,0.262345,0.269386,0.262029
2025-12-28 16:00:00,0.264591,0.268859,0.263726
2025-12-28 20:00:00,0.273061,0.274367,0.260296
2025-12-29 00:00:00,0.262176,0.273712,0.262176
2025-12-29 04:00:00,0.262948,0.263816,0.260146
2025-12-29 08:00:00,0.263483,0.266614,0.262815
2025-12-29 12:00:00,0.263039,0.264157,0.261347
2025-12-29 16:00:00,0.261997,0.264207,0.259688
2025-12-29 20:00:00,0.263032,0.264899,0.261758
2025-12-30 00:00:00,0.26031,0.264192,0.25757
2025-12-30 04:00:00,0.259645,0.260643,0.257822
2025-12-30 08:00:00,0.258458,0.262959,0.253698
2025-12-30 12:00:00,0.257617,0.25841,0.255514
2025-12-30 16:00:00,0.259362,0.262192,0.257219
2025-12-30 20:00:00,0.257435,0.259084,0.256226
2025-12-31 00:00:00,0.259874,0.260183,0.256033
2025-12-31 04:00:00,0.268382,0.270021,0.258242
2025-12-31 08:00:00,0.265653,0.272132,0.265387
2025-12-31 12:00:00,0.263156,0.266365,0.263134
2025-12-31 16:00:00,0.262508,0.264476,0.26147
2025-12-31 20:00:00,0.26081,0.263883,0.260763
2026-01-01 00:00:00,0.257945,0.262,0.257731
2026-01-01 04:00:00,0.256668,0.259283,0.256655
2026-01-01 08:00:00,0.260701,0.2618,0.25601
2026-01-01 12:00:00,0.25828,0.266644,0.257392
2026-01-01 16:00:00,0.258602,0.258761,0.257378
2026-01-01 20:00:00,0.260042,0.264519,0.257082
2026-01-02 00:00:00,0.256355,0.260116,0.255489
2026-01-02 04:00:00,0.255438,0.256862,0.254236
2026-01-02 08:00:00,0.253006,0.255433,0.253006
2026-01-02 12:00:00,0.255061,0.256279,0.254308
2026-01-02 16:00:00,0.253206,0.257263,0.251576
2026-01-02 20:00:00,0.251909,0.252839,0.251241
2026-01-03 00:00:00,0.254068,0.254698,0.2516
2026-01-03 04:00:00,0.255262,0.255953,0.254164
2026-01-03 08:00:00,0.248549,0.255647,0.248549
2026-01-03 12:00:00,0.242611,0.249002,0.241146
