,close,high,low
2025-12-18 08:00:00,0.347578,0.352223,0.345782
2025-12-18 12:00:00,0.352181,0.352181,0.345736
2025-12-18 16:00:00,0.351293,0.354333,0.350802
2025-12-18 20:00:00,0.344898,0.351991,0.343931
2025-12-19 00:00:00,0.345671,0.346522,0.344532
2025-12-19 04:00:00,0.352511,0.353044,0.342821
2025-12-19 08:00:00,0.348664,0.353644,0.328343
2025-12-19 12:00:00,0.35543,0.361732,0.33333
2025-12-19 16:00:00,0.350383,0.355343,0.348484
2025-12-19 20:00:00,0.347036,0.351675,0.346809
2025-12-20 00:00:00,0.346847,0.349711,0.345167
2025-12-20 04:00:00,0.34956,0.350327,0.345265
2025-12-20 08:00:00,0.34579,0.350452,0.34579
2025-12-20 12:00:00,0.349718,0.35003,0.342877
2025-12-20 16:00:00,0.342323,0.349799,0.342319
2025-12-20 20:00:00,0.343506,0.345651,0.341104
2025-12-21 00:00:00,0.342991,0.350557,0.342843
2025-12-21 04:00:00,0.349663,0.350393,0.343052
2025-12-21 08:00:00,0.342304,0.344279,0.341205
2025-12-21 12:00:00,0.337383,0.348936,0.336227
2025-12-21 16:00:00,0.331824,0.337381,0.325541
2025-12-21 20:00:00,0.328475,0.331294,0.326227
2025-12-22 00:00:00,0.333176,0.334062,0.326889
2025-12-22 04:00:00,0.324233,0.333958,0.32359
2025-12-22 08:00:00,0.325834,0.325834,0.318962
2025-12-22 12:00:00,0.320026,0.325178,0.319704
2025-12-22 16:00:00,0.325089,0.325888,0.319248
2025-12-22 20:00:00,0.32465,0.325018,0.32271
2025-12-23 00:00:00,0.319096,0.325704,0.318289
2025-12-23 04:00:00,0.317454,0.324544,0.317445
2025-12-23 08:00:00,0.330386,0.331236,0.316292
2025-12-23 12:00:00,0.335571,0.336229,0.334449
2025-12-23 16:00:00,0.326736,0.335837,0.326592
2025-12-23 20:00:00,0.317322,0.333481,0.316579
2025-12-24 00:00:00,0.316538,0.318556,0.315176
2025-12-24 04:00:00,0.316477,0.320105,0.314925
2025-12-24 08:00:00,0.320597,0.321389,0.315392
2025-12-24 12:00:00,0.307228,0.320596,0.299945
2025-12-24 16:00:00,0.303613,0.307041,0.301554
2025-12-24 20:00:00,0.30168,0.3041,0.301046
2025-12-25 00:00:00,0.305388,0.30677,0.300721
2025-12-25 04:00:00,0.305372,0.306951,0.304574
2025-12-25 08:00:00,0.301728,0.30647,0.301638
2025-12-25 12:00:00,0.304803,0.309064,0.298144
2025-12-25 16:00:00,0.305676,0.309018,0.300045
2025-12-25 20:00:00,0.297057,0.30755,0.295625
2025-12-26 00:00:00,0.294464,0.29932,0.294067
2025-12-26 04:00:00,0.291106,0.303508,0.291103
2025-12-26 08:00:00,0.290264,0.309726,0.290264
2025-12-26 12:00:00,0.285561,0.301829,0.273234
2025-12-26 16:00:00,0.280193,0.286874,0.278925
2025-12-26 20:00:00,0.256255,0.2801,0.25604
2025-12-27 00:00:00,0.28493,0.28493,0.259638
2025-12-27 04:00:00,0.286881,0.288675,0.2842
2025-12-27 08:00:00,0.30545,0.318261,0.286665
2025-12-27 12:00:00,0.302081,0.311447,0.301889
2025-12-27 16:00:00,0.302554,0.304425,0.300918
2025-12-27 20:00:00,0.300617,0.303359,0.299654
2025-12-28 00:00:00,0.301575,0.303741,0.29927
2025-12-28 04:00:00,0.298628,0.302622,0.298236
2025-12-28 08:00:00,0.300951,0.303899,0.298008
2025-12-28 12:00:00,0.301394,0.301932,0.294744
2025-12-28 16:00:00,0.301036,0.301856,0.294788
2025-12-28 20:00:00,0.292128,0.300789,0.287392
2025-12-29 00:00:00,0.289008,0.29266,0.287573
2025-12-29 04:00:00,0.28647,0.288921,0.285616
2025-12-29 08:00:00,0.290905,0.29237,0.286225
2025-12-29 12:00:00,0.291342,0.291858,0.289921
2025-12-29 16:00:00,0.27708,0.291326,0.273538
2025-12-29 20:00:00,0.268481,0.277207,0.268438
2025-12-30 00:00:00,0.268514,0.270407,0.267981
2025-12-30 04:00:00,0.271636,0.273136,0.267669
2025-12-30 08:00:00,0.273037,0.273037,0.271133
2025-12-30 12:00:00,0.272101,0.273661,0.27138
2025-12-30 16:00:00,0.266551,0.273206,0.266436
2025-12-30 20:00:00,0.266758,0.267869,0.266251
2025-12-31 00:00:00,0.267166,0.273768,0.266163
2025-12-31 04:00:00,0.273046,0.274228,0.266599
2025-12-31 08:00:00,0.273446,0.273843,0.266275
2025-12-31 12:00:00,0.269187,0.2747,0.268433
2025-12-31 16:00:00,0.26928,0.269996,0.26834
2025-12-31 20:00:00,0.268607,0.27577,0.268336
2026-01-01 00:00:00,0.269124,0.275331,0.268445
2026-01-01 04:00:00,0.269299,0.275204,0.268416
2026-01-01 08:00:00,0.268431,0.275511,0.267991
2026-01-01 12:00:00,0.2697,0.275528,0.267859
2026-01-01 16:00:00,0.275004,0.27568,0.26811
2026-01-01 20:00:00,0.274759,0.275266,0.273919
2026-01-02 00:00:00,0.268964,0.275332,0.26756
2026-01-02 04:00:00,0.269038,0.274399,0.267719
2026-01-02 08:00:00,0.256848,0.269184,0.254277
2026-01-02 12:00:00,0.280356,0.283015,0.275878
2026-01-02 16:00:00,0.259796,0.275231,0.259796
2026-01-02 20:00:00,0.261089,0.262233,0.259085
2026-01-03 00:00:00,0.262743,0.266065,0.260175
2026-01-03 04:00:00,0.266208,0.268423,0.261377
2026-01-03 08:00:00,0.268189,0.268634,0.265438
